system,sys_type,testing_type,organization,set_id,blt_date,blt_status,blt_remarks,pre_hil_date,pre_hil_status,pre_hil_remarks,vibration_date,vibration_status,vibration_remarks,cg_balancing_date,cg_balancing_status,cg_balancing_remarks,post_hil_date,post_hil_status,post_hil_remarks,final_integrated_testing_date,final_integrated_testing_status,final_integrated_testing_remarks,bhd_date,bhd_status,bhd_remarks,fqm_date,fqm_status,fqm_remarks,qm_certification_date,qm_certification_status,qm_certification_remarks,end_user_date,end_user_status,end_user_remarks,remarks
BWS-2A,Ballistic,Shyann,AWC,Dianna,10-28-2023,Ok,Accounts,10-28-2023,Ok,Communications,10-28-2023,Ok,Communications,10-28-2023,Ok,Program,10-28-2023,Ok,Security,10-28-2023,Ok,Directives,10-28-2023,Ok,Directives,10-28-2023,Not Conducted,Factors,10-28-2023,QM Certifcate Issued,Interactions,10-28-2023,Ok,Response ,Markets
AbWS,Ballistic,Jesus,NDC,Soledad,10-28-2024,Obserbation(same stage),Security,10-28-2024,Obserbation(same stage),Optimization,10-28-2024,Obserbation(same stage),Data,10-28-2024,Obserbation(same stage),Markets,10-28-2024,Obserbation(same stage),Mobility,10-28-2024,Obserbation(same stage),Configuration,10-28-2024,Not Submitted,Applications,10-28-2024,Conducted,Assurance,10-28-2024,QM Observation Forwarded,Factors,10-28-2024,Observation,Quality,Division
S2B,Ballistic,Maryam,NDC,Agustina,10-28-2025,Obserbation(next stage),Integration,10-28-2025,Obserbation(next stage),Solutions,10-28-2025,Obserbation(next stage),Identity,10-28-2025,Obserbation(next stage),Optimization,10-28-2025,Obserbation(next stage),Communications,10-28-2025,Obserbation(next stage),Assurance,10-28-2025,QM Observation Forwarded,Creative,10-28-2025,Not Conducted,Operations,10-28-2025,Audit In-process,Brand,10-28-2025,Halt,Interactions,Operations
BWS-2A,Ballistic,Kaylee,AWC,Tyler,10-28-2026,Halt,Group,10-28-2026,Halt,Implementation,10-28-2026,Halt,Infrastructure,10-28-2026,Halt,Mobility,10-28-2026,Halt,Interactions,10-28-2026,Halt,Web,10-28-2026,Audit In-process,Communications,10-28-2026,Conducted,Creative,10-28-2026,QM Certifcate Issued,Quality,10-28-2026,Completed,Interactions,Branding
AbWS,Ballistic,Crystal,AWC,Alf,10-28-2027,Under Process,Branding,10-28-2027,Under Process,Metrics,10-28-2027,Under Process,Marketing,10-28-2027,Under Process,Applications,10-28-2027,Under Process,Creative,10-28-2027,Under Process,Response,10-28-2027,Ok,Accounts,10-28-2027,Not Conducted,Division,10-28-2027,QM Observation Forwarded,Response,10-28-2027,Ok,Directives,Creative
AbWS,Ballistic,Gonzalo,MTC,Vesta,10-28-2028,Ok,Data,10-28-2028,Ok,Response,10-28-2028,Ok,Web,10-28-2028,Ok,Functionality,10-28-2028,Ok,Intranet,10-28-2028,Ok,Group,10-28-2028,Not Submitted,Metrics,10-28-2028,Conducted,Security,10-28-2028,Audit In-process,Paradigm,10-28-2028,Observation,Response,Implementation
BWS-2A,Ballistic,Lauriane,AWC,Shanny,10-28-2029,Obserbation(same stage),Paradigm,10-28-2029,Obserbation(same stage),Infrastructure,10-28-2029,Obserbation(same stage),Research,10-28-2029,Obserbation(same stage),Division,10-28-2029,Obserbation(same stage),Mobility,10-28-2029,Obserbation(same stage),Intranet,10-28-2029,QM Observation Forwarded,Integration,10-28-2029,Not Conducted,Configuration,10-28-2029,QM Certifcate Issued,Group,10-28-2029,Halt,Data,Creative
S2B,Ballistic,Juanita,NDC,Lexus,10-28-2030,Obserbation(next stage),Applications,10-28-2030,Obserbation(next stage),Identity,10-28-2030,Obserbation(next stage),Implementation,10-28-2030,Obserbation(next stage),Infrastructure,10-28-2030,Obserbation(next stage),Research,10-28-2030,Obserbation(next stage),Identity,10-28-2030,Audit In-process,Creative,10-28-2030,Conducted,Functionality,10-28-2030,QM Observation Forwarded,Optimization,10-28-2030,Completed,Optimization,Functionality
S2B,Ballistic,Victor,MTC,Mariane,10-28-2031,Halt,Implementation,10-28-2031,Halt,Web,10-28-2031,Halt,Implementation,10-28-2031,Halt,Communications,10-28-2031,Halt,Paradigm,10-28-2031,Halt,Group,10-28-2031,Ok,Communications,10-28-2031,Not Conducted,Identity,10-28-2031,Audit In-process,Paradigm,10-28-2031,Ok,Implementation,Directives
BWS-2A,Ballistic,Jackeline,MTC,Lexie,10-28-2032,Under Process,Optimization,10-28-2032,Under Process,Operations,10-28-2032,Under Process,Creative,10-28-2032,Under Process,Interactions,10-28-2032,Under Process,Interactions,10-28-2032,Under Process,Factors,10-28-2032,Not Submitted,Directives,10-28-2032,Conducted,Creative,10-28-2032,QM Certifcate Issued,Brand,10-28-2032,Observation,Research,Markets
